CustID,Name,Gender,Address,zip,SignDate,Status,Level,Campaign,LinkedWithApps
0,"Gregory Koval",0,"13004 Easy Cider Point","72132","06/04/2013",1,1,1,0
1,"Robert Gordon",0,"10497 Thunder Hickory Villa","17307","07/27/2013",1,1,1,0
2,"Paula Peltier",0,"10084 Easy Gate Bend","66216","01/13/2013",1,0,4,1
3,"Francine Gray",0,"54845 Bent Pony Heights","36690","07/11/2013",1,1,1,1
4,"David Garcia",0,"8551 Tawny Fox Villa","61377","09/09/2012",1,0,1,1
5,"Matthew Perry",1,"29677 Sunny Autumn Vale","20115","10/09/2012",1,0,3,0
6,"Marjorie Jackman",1,"83213 Crimson Autumn Journey","15330","06/27/2013",1,0,1,1
7,"Margaret Jhonson",1,"45409 Quaint Leaf Manor","33570","07/12/2013",1,1,3,0
8,"Gregory Laird",0,"570 Clear Beaver Bank","41240","09/09/2012",1,1,3,1
9,"Timothy Buckner",1,"61215 Tender Forest Bank","63565","07/02/2013",1,2,1,0
10,"Joshua Threadgill",0,"91992 Old Butternut Jetty","90637","01/20/2013",1,0,1,0
11,"Timothy Mckay",0,"9309 Umber Bridge Glade","68778","04/06/2013",1,0,1,1
12,"James Davis",0,"4894 Sandy Lamb Corner","97499","04/27/2013",1,0,0,0
13,"Alva Dancy",0,"22467 Old Leaf Park","98356","05/14/2013",1,1,4,1
14,"Thomas Marable",0,"11 Broad Sky Ledge","15012","05/21/2013",1,1,1,1
15,"Emily Wall",0,"50061 Long Panda Stroll","52175","04/10/2012",1,0,1,0
16,"Everett Marlow",0,"92734 Emerald Leaf Round","41553","06/03/2013",1,2,1,0
17,"James Carter",1,"2543 Silent Elk Dale","70753","07/23/2013",1,0,1,0
18,"Gena Nelson",1,"91835 Big Lake Rove","23221","04/09/2013",0,1,0,0
19,"David Schroeder",1,"5069 Grand Pony Byway","15928","03/23/2013",1,0,1,0
20,"Christine Hamilton",1,"506 Calm Turtle Terrace","54153","05/23/2013",1,0,1,1
21,"Eddie Bonner",1,"41488 Thunder Cottage Run","04042","06/04/2013",1,0,1,1
22,"John Richardson",0,"59856 Gentle Beaver Villa","56045","08/03/2012",1,0,4,1
23,"Vivian Brown",0,"64059 Honey Log Bayou","48736","07/18/2013",1,0,1,1
24,"Denise Oneil",1,"4043 Rose Snake Circle","90603","06/06/2013",1,2,1,1
25,"Deborah Thomas",0,"9487 Strong Timber Acres","75483","03/28/2013",0,1,1,0
26,"Pauline Mead",1,"47575 Heather Apple Lace","17509","03/29/2013",1,0,4,1
27,"Gladys Hays",0,"62007 Lonely Cloud Round","34240","04/18/2013",1,0,1,0
28,"Diane Turner",1,"79233 Ivory Pond Vista","05492","06/17/2013",1,0,1,1
29,"Minnie Villa",0,"2270 Stony Nut Estates","27546","10/10/2012",1,1,1,1
30,"Jason Kimbrough",0,"13081 Hush Goose Court","92509","07/20/2013",0,0,1,0
31,"Melissa Lyons",0,"5694 Hush Timber Round","88559","03/21/2013",1,0,1,1
32,"Frederica Taylor",1,"47382 Red Forest Landing","88241","07/15/2013",1,0,1,1
33,"Gloria Wilson",0,"74104 Noble Beacon Drive","74428","05/12/2013",1,0,1,0
34,"Samantha Shinn",0,"22908 Shady Hills Rove","83717","06/11/2013",1,0,1,0
35,"Edward Haines",1,"4372 Quaint Wagon Vale","50858","04/23/2013",1,1,1,0
36,"James Vasquez",1,"55858 Indian Stone Cut","66742","04/06/2013",1,1,1,0
37,"Ruth Brown",0,"95942 Hush Shadow Street","80428","05/16/2013",1,0,4,0
38,"Kevin Howard",0,"75618 Strong Robin Lace","98424","07/06/2013",1,0,1,1
39,"Victoria Abbott",0,"10326 Calm Rock Stroll","13801","04/17/2013",0,2,2,0
40,"Ronald Guerra",0,"37721 Pearl Shadow Gardens","61413","04/18/2013",0,1,1,0
41,"Heather Askins",1,"79704 Red Nest Flats","06881","07/05/2013",1,1,4,1
42,"Mark Anderson",1,"78407 Fallen Maple Farms","91522","03/17/2013",1,0,1,0
43,"Kathleen Wiggins",0,"49438 Twin Flower Vale","20022","06/10/2013",0,0,1,0
44,"Lauren Wilson",1,"12778 Orange River Flats","97044","03/26/2013",1,1,1,1
45,"Kristen Tolliver",0,"47342 Grand Beaver Ramble","20859","06/15/2013",1,0,1,0
46,"Brittani Rubenstein",0,"54238 Hazy Pond Road","78961","06/01/2013",1,0,4,0
47,"Brandon Croteau",0,"27373 Amber Goose Saunter","16215","05/07/2013",1,0,0,0
48,"Lucas Pizano",0,"2723 Stony Beaver Hollow","99256","11/02/2012",1,0,3,1
49,"Leonor Leon",1,"2357 Shady Nest Isle","55336","02/11/2013",1,1,1,1
50,"Frederick Eaton",0,"74235 Twin Autumn Swale","03034","02/13/2013",1,1,3,1
51,"India Kramer",0,"14358 Small Creek Avenue","38141","06/03/2013",1,0,1,1
52,"Roberto Woodbury",0,"18608 Noble Gate Trek","02575","06/25/2013",1,1,1,0
53,"Richard Wolfe",0,"64248 Sleepy Diamond Lane","40372","05/02/2013",1,0,2,0
54,"Kevin Pereira",1,"11967 Long Maple Ramble","97420","04/02/2013",1,0,1,1
55,"Joanne Marcus",0,"8440 Quaint Bird Court","91921","06/11/2013",1,0,4,0
56,"Marvin Souder",0,"55601 Old Horse Terrace","80022","03/01/2013",1,0,1,1
57,"Christopher Young",0,"82406 Big Goat Niche","85003","05/16/2013",1,0,1,1
58,"Jose Phillips",0,"518 Green View Trail","21794","12/08/2012",1,2,0,0
59,"William Chiles",0,"49298 Blue Horse Street","32578","04/04/2013",1,0,1,1
60,"Carl Bowman",1,"25862 Sweet Hickory Grove","35801","07/03/2013",1,1,2,1
61,"Joyce Newman",0,"30014 Hazy Prairie Turn","97049","06/12/2013",1,1,1,1
62,"Richard Lapointe",1,"10671 Red Holly Point","39181","07/20/2013",0,0,0,1
63,"Matthew Collins",0,"69490 Little Willow Glade","01253","12/19/2012",1,0,2,0
64,"Stephanie Heasley",1,"45824 Ivory Rise Terrace","06903","06/02/2013",1,0,1,1
65,"Cecelia Holloway",1,"14386 Broad Island Lagoon","62555","04/23/2013",1,0,2,0
66,"Dennis Pierce",1,"17 Crimson Willow Arbor","89513","06/21/2013",1,1,1,1
67,"Stephen Prevost",0,"91156 Round Goat Circle","21161","06/19/2013",1,1,3,0
68,"Tony Hernandez",0,"15967 Orange Treasure Pike","71959","06/16/2013",1,0,1,1
69,"Ellen Imes",0,"77930 Pied Spring Park","93528","07/20/2013",1,0,1,0
70,"Julie Ayala",1,"1776 Noble Swan View","30742","03/18/2013",1,1,1,1
71,"Eric Green",1,"30583 Turning Fawn Point","62095","05/09/2013",1,0,1,1
72,"Yolanda Kesterson",1,"54521 Bent Pond Quay","60064","04/20/2013",1,0,1,0
73,"Beverly Vallery",0,"7260 Gentle Panda Corner","73663","07/10/2013",1,1,1,0
74,"Dallas Flores",0,"82712 Bent Nut Path","78208","05/17/2013",1,0,1,0
75,"Robert Sullivan",0,"4950 Lost Robin Trace","13632","05/02/2013",1,0,4,0
76,"Ernest Fox",0,"44844 Rough Forest Vista","20042","07/01/2013",1,0,0,0
77,"Mark Clifton",1,"82843 Tawny Elk Saunter","34685","04/29/2013",1,2,0,0
78,"Helen Boynton",1,"23266 Silver Stone Glade","32971","04/16/2013",1,0,1,0
79,"Megan Sanderson",1,"54577 Cinder Snake Bank","15662","04/26/2013",1,0,1,1
80,"Faye Sierra",0,"885 Amber River Arbor","10519","05/28/2013",1,1,1,0
81,"Arnold Moyer",0,"44067 Jagged Bluff Stead","77262","05/09/2013",1,1,0,0
82,"Amy Warner",1,"14173 Lost Pioneer Vale","02563","07/12/2013",1,0,1,1
83,"Sarah Johnson",1,"73482 Hidden Rock Lagoon","23038","04/27/2013",1,1,1,0
84,"Anthony Farris",1,"19362 Green Mill Edge","27502","12/09/2012",1,1,1,1
85,"Janie Harper",1,"12318 Auburn Pebble Falls","72359","06/27/2013",1,2,1,0
86,"June Day",1,"76170 Jagged Berry Bank","77830","01/20/2013",1,1,0,0
87,"James Andrews",0,"19335 Harvest Maple Terrace","59867","05/16/2013",1,0,1,1
88,"Patricia Chandler",0,"76775 Happy Autumn Nook","80436","06/14/2013",1,0,1,1
89,"Mary Mitchell",0,"55606 Cold River Run","46382","07/17/2013",1,0,2,0
90,"Hung Ivey",0,"16624 Rose Timber Canyon","34656","01/11/2013",1,1,1,1
91,"Christopher Hembree",0,"20658 Sleepy Diamond Run","77520","05/24/2013",1,0,1,0
92,"Martha Marcil",0,"25236 Fallen Autumn Road","27690","12/15/2012",1,0,1,1
93,"Stuart Hansen",1,"647 Lone Holly Nook","41845","10/17/2012",1,2,1,1
94,"Dollie Barden",1,"15553 Middle Embers Ridge","28717","04/10/2013",0,1,1,1
95,"Michale Chapple",1,"61273 Pied Harbor Ledge","61524","07/19/2013",1,1,1,0
96,"Roberto Wicker",1,"81 Old Holly Villa","45343","07/08/2013",1,1,3,0
97,"Roland Jones",1,"44589 Quaint Nectar Summit","60669","01/12/2013",0,2,2,0
